id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.4652333709247411
ZTF18aatrkga,SN Ia,0.4652333709247411
ZTF19acdkzxk,SN II,0.4652333709247411
ZTF19acdxlns,SN Ia,0.4099911519938606
ZTF19acecluy,SN II,0.4652333709247411
ZTF19acekkts,SN Ia,0.4652333709247411
ZTF19acenveq,SN Ia,0.4652333709247411
ZTF19aceqxtg,SN Ia,0.4652333709247411
ZTF19acetxvq,SN Ia,0.4652333709247411
ZTF19aceuacu,SN Ia,0.8871805555555555
ZTF19acewotx,SN Ia,0.4652333709247411
ZTF19acewuwn,SN II,0.4894545454545454
ZTF19acexijn,SN Ia,0.4652333709247411
ZTF19acfecsg,SN Ia,0.558796916357636
ZTF19acfejbj,SN II,0.7137842977284153
ZTF19acfmwlh,SN Ia,0.4652333709247411
ZTF19acfrntd,SN Ia,0.4652333709247411
ZTF19acfsbpa,SN II,0.4652333709247411
ZTF19acfsqjx,SN Ia,0.9077099673202614
ZTF19acftaml,SN Ia,0.906
ZTF19acftfav,SN IIP,0.8066974358974359
ZTF19acftfst,SN Ia,0.9837320170842231
ZTF19acfthre,SN Ia,0.4652333709247411
ZTF19acftude,SN IIn,0.7134545454545455
ZTF19acfwynw,SLSN-I,0.8223738732672558
ZTF19acfxbki,SN Ia,0.4652333709247411
ZTF19acfxbxe,SN Ia,0.4652333709247411
ZTF19acgaxej,SN Ia,0.4652333709247411
ZTF19acgbkzr,SN II,0.9090087018631523
ZTF19acgbzam,SN Ia,0.392
ZTF19acgcdas,SN Ia,0.4652333709247411
ZTF19acgcshq,SN Ia,0.6206153846153847
ZTF19acgdfjt,SN Ia,0.4652333709247411
ZTF19acgdxel,SN Ia,0.43728821832622117
ZTF19acgemqj,SN Ia-91T-like,0.6148052729906832
ZTF19acgfvvi,SN II,0.4652333709247411
ZTF19acgjnfz,SN Ia,0.4652333709247411
ZTF19acgjnis,SN Ia,0.4652333709247411
ZTF19acgjohb,SN Ia,0.837451341632224
ZTF19acgjojy,SN Ia,0.9588534798534798
ZTF19acgjosf,SN Ia,0.9872224553224556
ZTF19acgjpgh,SLSN-I,0.7123798746446193
ZTF19acgmkrt,SN Ia,0.8154600473357052
ZTF19acgogcm,SN Ia,0.4652333709247411
ZTF19acgonwy,SN Ia,0.9732307692307692
ZTF19acgouje,SN Ia,0.4652333709247411
ZTF19acgphsf,SN Ia,0.4652333709247411
ZTF19acgpkye,SN Ia,0.4652333709247411
ZTF19acgpqxt,SN Ia,0.8458354991413817
ZTF19acgqjln,SN Ia,0.981
ZTF19acgrbeb,SN Ia,0.8580122333548804
ZTF19acgxbwo,SN Ia,0.4834545454545454
ZTF19acgzwbm,SN II,0.4652333709247411
ZTF19acgzzea,SN IIP,0.4652333709247411
ZTF19achagst,SN Ia,0.971
ZTF19achahea,SN Ia,0.4652333709247411
ZTF19achajnc,SN Ia,0.787
ZTF19achaspq,SN Ia,0.6187222222222222
ZTF19achejoc,SN Ia,0.737
ZTF19achetvw,SN Ia,0.8988285714285714
ZTF19achiyvy,SN Ic,0.992
ZTF19achjpyc,SN Ia-91T-like,0.4652333709247411
ZTF19achjqbk,SN IIP,0.990458818958819
ZTF19achtewn,SN Ia,0.5750709788964047
ZTF19achticg,SN Ia,0.4652333709247411
ZTF19achtifr,SN II,0.4652333709247411
ZTF19achvpik,SN Ia,0.6294608585858585
ZTF19acifuyf,SN Ia,0.745
ZTF19acigkma,SN Ia-91T-like,0.7642153846153846
ZTF19acignlo,SN II,0.628
ZTF19acigqdd,SN Ia-91T-like,0.907
ZTF19acihfxz,SN Ia,0.9165555555555556
ZTF19acihlft,SN Ia,0.6014117647058823
ZTF19acitkzs,SN Ia,0.808
ZTF19acitnck,SN Ia,0.8092
ZTF19acjdufa,SN Ia,0.693
ZTF19acjdwqv,SN Ia,0.9682890567765567
ZTF19acjerdh,SN Ia,0.989
ZTF19acjerzj,SN Ia,0.4652333709247411
ZTF19acjfhom,SN Ia,0.887
ZTF19acjifxp,SN Ia,0.4652333709247411
ZTF19acjjwsy,SN Ia,0.9094545454545455
ZTF19acjnatv,SN Ia,0.8260845320529143
ZTF19acjnaxa,SN Ia,0.9736153846153847
ZTF19acjqecl,SN Ia,0.7047049000749854
ZTF19acjtkha,SN Ia,0.61625
ZTF19acjtpmm,SN II,0.4652333709247411
ZTF19acjtpqd,SN Ic,0.4652333709247411
ZTF19acjuomg,SN Ia,0.99
ZTF19acjurot,SN Ia,0.7080404960579496
ZTF19acjutrw,SN IIn,0.4652333709247411
ZTF19acjwcqy,SN Ic-BL,0.9551755397380398
ZTF19acjwdnu,SN II,0.9522939560439561
ZTF19acjwqvo,SN Ia,0.638
ZTF19ackbclh,SN IIn,0.4652333709247411
ZTF19ackjjwf,SN Ib,0.878
ZTF19ackjlrd,SN Ia,0.4652333709247411
ZTF19ackjmge,SN Ia,0.4652333709247411
ZTF19ackjnuq,SN Ia,0.4652333709247411
ZTF19ackjozg,SN Ia,0.4652333709247411
ZTF19ackjsys,SN Ia,0.4652333709247411
ZTF19ackjszs,SN Ib,0.4652333709247411
ZTF19acnzkph,SN Ia,0.869
ZTF19acoaoty,SN Ia,0.993
ZTF19acojuzv,SN Ia,0.9
ZTF19acojxzo,SN Ia,0.544
ZTF19acoknir,SN Ib/c,0.4652333709247411
ZTF19acokufi,SN Ia,0.7015516465603545
ZTF19acokzjy,SN Ia,0.974
ZTF19acolhnl,SN Ia,0.4652333709247411
ZTF19acordoi,SN Ia-91T-like,0.945625
ZTF19acoxgqw,SN Ia,0.6433953046953046
ZTF19acoyxuv,SN Ia,0.4652333709247411
ZTF19acpfnth,SN Ia,0.4652333709247411
ZTF19acpgaet,SN Ia,0.7944634517443342
ZTF19acpmuwu,SN Ia,0.881
ZTF19acqdato,SN Ia,0.4652333709247411
ZTF19acqmwtg,SN Ia,0.4652333709247411
ZTF19acqupbp,SN Ia,0.8795550366300368
ZTF19acqxoll,SN Ia,0.981
ZTF19acqypso,SN Ia,0.9270849673202614
ZTF19acrbyzj,SN Ia,0.8504117647058823
ZTF19acrcupt,SN Ia,0.951625
ZTF19acrcxri,SN II,0.54
ZTF19acrdcwh,SN Ia,0.5540692856550052
ZTF19acrddcz,SN Ia-91T-like,0.6500017254718108
ZTF19acrdqej,SN Ia,0.976
ZTF19acrenwk,SN Ia,0.7366045106037753
ZTF19acrmmpq,SN Ia,0.6512160111860965
ZTF19acruaaa,SN Ia,0.4652333709247411
ZTF19acruqph,SN Ia,0.988
ZTF19acrvfkz,SN Ia,0.4652333709247411
ZTF19acrwvao,SN II,0.4652333709247411
ZTF19acrwyyb,SN Ibn,0.4652333709247411
ZTF19acrwzqs,SN Ia,0.4652333709247411
ZTF19acryaon,SN Ia,0.5083460161097931
ZTF19acryurj,SN II,0.408
ZTF19acsaoxd,SN Ia,0.4652333709247411
ZTF19acsfpmi,SN Ia,0.4652333709247411
ZTF19acsfvog,SN Ia,0.4652333709247411
ZTF19acshfvz,SN Ia,0.4652333709247411
ZTF19acshkft,SN Ia,0.9769903846153847
ZTF19acspfcb,SN Ia,0.4652333709247411
ZTF19acsvqrx,SN Ia,0.9488997901608195
ZTF19acszmgx,SN II,0.4652333709247411
ZTF19actaiag,SN Ia,0.4652333709247411
ZTF19acteaxl,SN Ia,0.4652333709247411
ZTF19actfpma,SN Ia,0.4652333709247411
ZTF19actfpmy,SN Ia,0.4652333709247411
ZTF19actfxcd,SN IIP,0.4652333709247411
ZTF19acthgxq,SN Ia,0.4652333709247411
ZTF19acthucv,SN Ia,0.4652333709247411
ZTF19actldas,SN Ia,0.839985628342246
ZTF19actzjrf,SN Ia,0.4652333709247411
ZTF19acudiph,SN Ia,0.4652333709247411
ZTF19acuitcy,SN Ia,0.4652333709247411
ZTF19acukcte,SN Ia,0.4652333709247411
ZTF19acukucu,SN IIn,0.7446942918192918
ZTF19aculczm,SN Ia,0.4652333709247411
ZTF19aculgvn,SN Ia,0.4652333709247411
ZTF19aculypc,SN Ia,0.4652333709247411
ZTF19acuybzx,SN Ia,0.4652333709247411
ZTF19acvgbeh,SN Ia-91T-like,0.4652333709247411
ZTF19acvkibv,SN IIn,0.4652333709247411
ZTF19acvmcdd,SN II,0.4652333709247411
ZTF19acvrgde,SN Ia,0.4652333709247411
ZTF19acvrigb,SN Ia,0.4652333709247411
ZTF19acvrjzd,SN II,0.4652333709247411
ZTF19acvtrxj,SN II,0.4652333709247411
ZTF19acwbhih,SN II,0.4652333709247411
ZTF19acwqvvn,SN Ia,0.7276853146853148
ZTF20aauhbvu,SN IIP,0.4652333709247411
ZTF20aaurwes,SN Ia,0.4652333709247411
ZTF20abjaapj,SN II,0.5289977399621358
ZTF20abjfufv,SN Ia,0.7865555555555556
ZTF20abjtavx,SN Ib,0.7008209304584305
ZTF20abmlxrx,SN Ia-CSM,0.74116727577548
ZTF20abnbilr,SN Ia,0.4652333709247411
ZTF20abnnfpv,SN II,0.4652333709247411
ZTF20abobpcb,SLSN-I,0.5785627834884415
ZTF20abpucsd,SN Ia,0.4652333709247411
ZTF20abpuijn,SN Ia,0.4652333709247411
ZTF20abpvhij,SN Ia,0.4652333709247411
ZTF20abpvolc,SN Ia,0.4652333709247411
ZTF20abqaqgv,SN Ia,0.4652333709247411
ZTF20abqdqyh,SN II,0.4652333709247411
ZTF20abqfgee,SN Ia,0.4652333709247411
ZTF20abqgzhh,SN Ia,0.4652333709247411
ZTF20abqlawg,SN Ia,0.5834042043697614
ZTF20abqlgtv,SN Ia,0.4652333709247411
ZTF20abqnztv,SN Ia,0.9073985653235652
ZTF20absvtnc,SN Ia,0.4789565346890809
ZTF20absvwdh,SN Ia,0.8698960442335442
ZTF20absyium,SN Ia,0.4652333709247411
ZTF20abszzlp,SN Ia,0.4652333709247411
ZTF20abtnpwt,SN Ia,0.518114743022715
ZTF20abuqali,SN II,0.8527864481923305
ZTF20abvqibv,SN Ia-91T-like,0.4652333709247411
ZTF20abvqilf,SN Ia,0.3696552508336175
ZTF20abvtozi,SN Ia,0.788
ZTF20abvyare,SN Ia,0.4652333709247411
ZTF20abwdaeo,SN II,0.6005093781218781
ZTF20abwkqxd,SN Ia,0.73
ZTF20abwktfx,SN Ia,0.571
ZTF20abxfiev,SN Ia,0.973
ZTF20abxgxjd,SN Ia,0.922
ZTF20abxhigx,SN Ia,0.4652333709247411
ZTF20abxidyb,SN Ia,0.922
ZTF20abxjefm,SN Ia,0.924
ZTF20abxkwbi,SN II,0.4652333709247411
ZTF20abxxzxy,SN Ia,0.4652333709247411
ZTF20abxyajd,SN Ia,0.4652333709247411
ZTF20abxyaje,SN II,0.4652333709247411
ZTF20abxyaqc,SN Ia,0.5825837995337995
ZTF20abxyfye,SN Ia,0.9292307692307693
ZTF20abxyggc,SN Ia,0.4652333709247411
ZTF20abxyjfg,SN Ia,0.4652333709247411
ZTF20abxzrqw,SN Ia,0.803
ZTF20abybeex,SN II,0.34985842543679224
ZTF20abydkrl,SN Ia,0.77
ZTF20abyfmjr,SN Ia,0.861
ZTF20abygigy,SN Ia,0.877
ZTF20abyiohf,SN Ia,0.944
ZTF20abyjpxx,SN Ia,0.991
ZTF20abylbuf,SN Ia,0.815
ZTF20abyskia,SN Ia,0.83
ZTF20abysqxw,SN Ia,0.4652333709247411
