id,type,prob_Ia
ZTF18aabukgo,SN Ia,0.36044761904761835
ZTF18aatrkga,SN Ia,0.36044761904761835
ZTF19acdkzxk,SN II,0.36044761904761835
ZTF19acdxlns,SN Ia,0.7377642857142855
ZTF19acecluy,SN II,0.36044761904761835
ZTF19acekkts,SN Ia,0.36044761904761835
ZTF19acenveq,SN Ia,0.36044761904761835
ZTF19aceqxtg,SN Ia,0.36044761904761835
ZTF19acetxvq,SN Ia,0.36044761904761835
ZTF19aceuacu,SN Ia,0.7468666666666667
ZTF19acewotx,SN Ia,0.36044761904761835
ZTF19acewuwn,SN II,0.645
ZTF19acexijn,SN Ia,0.36044761904761835
ZTF19acfecsg,SN Ia,0.7806809523809524
ZTF19acfejbj,SN II,0.502
ZTF19acfmwlh,SN Ia,0.36044761904761835
ZTF19acfrntd,SN Ia,0.36044761904761835
ZTF19acfsbpa,SN II,0.36044761904761835
ZTF19acfsqjx,SN Ia,0.8885833333333334
ZTF19acftaml,SN Ia,0.8783261904761906
ZTF19acftfav,SN IIP,0.7444333333333333
ZTF19acftfst,SN Ia,0.8286690476190477
ZTF19acfthre,SN Ia,0.36044761904761835
ZTF19acftude,SN IIn,0.42
ZTF19acfwynw,SLSN-I,0.7305285714285714
ZTF19acfxbki,SN Ia,0.36044761904761835
ZTF19acfxbxe,SN Ia,0.36044761904761835
ZTF19acgaxej,SN Ia,0.36044761904761835
ZTF19acgbzam,SN Ia,0.653
ZTF19acgcdas,SN Ia,0.36044761904761835
ZTF19acgcshq,SN Ia,0.7953333333333333
ZTF19acgdfjt,SN Ia,0.36044761904761835
ZTF19acgdxel,SN Ia,0.7243476190476189
ZTF19acgemqj,SN Ia-91T-like,0.7321642857142857
ZTF19acgfvvi,SN II,0.36044761904761835
ZTF19acgjnfz,SN Ia,0.36044761904761835
ZTF19acgjnis,SN Ia,0.36044761904761835
ZTF19acgjohb,SN Ia,0.8746666666666666
ZTF19acgjojy,SN Ia,0.8521333333333334
ZTF19acgjosf,SN Ia,0.8727999999999999
ZTF19acgjpgh,SLSN-I,0.7300904761904764
ZTF19acgmkrt,SN Ia,0.7498285714285713
ZTF19acgogcm,SN Ia,0.36044761904761835
ZTF19acgonwy,SN Ia,0.764
ZTF19acgouje,SN Ia,0.36044761904761835
ZTF19acgphsf,SN Ia,0.36044761904761835
ZTF19acgpkye,SN Ia,0.36044761904761835
ZTF19acgpqxt,SN Ia,0.8373666666666667
ZTF19acgqjln,SN Ia,0.895
ZTF19acgrbeb,SN Ia,0.8917333333333334
ZTF19acgxbwo,SN Ia,0.699
ZTF19acgzwbm,SN II,0.36044761904761835
ZTF19acgzzea,SN IIP,0.36044761904761835
ZTF19achagst,SN Ia,0.866
ZTF19achahea,SN Ia,0.36044761904761835
ZTF19achajnc,SN Ia,0.8486666666666668
ZTF19achaspq,SN Ia,0.801
ZTF19achejoc,SN Ia,0.804
ZTF19achetvw,SN Ia,0.9325666666666668
ZTF19achiyvy,SN Ic,0.862352380952381
ZTF19achjpyc,SN Ia-91T-like,0.36044761904761835
ZTF19achjqbk,SN IIP,0.871
ZTF19achticg,SN Ia,0.36044761904761835
ZTF19achtifr,SN II,0.36044761904761835
ZTF19achvpik,SN Ia,0.7935999999999999
ZTF19acifuyf,SN Ia,0.813
ZTF19acigkma,SN Ia-91T-like,0.8463333333333334
ZTF19acignlo,SN II,0.679
ZTF19acigqdd,SN Ia-91T-like,0.8304666666666667
ZTF19acihfxz,SN Ia,0.882
ZTF19acihgng,SN Ia,0.9
ZTF19acihlft,SN Ia,0.7453333333333334
ZTF19acitkzs,SN Ia,0.82225
ZTF19acitnck,SN Ia,0.8798
ZTF19acjdufa,SN Ia,0.8356666666666668
ZTF19acjdwqv,SN Ia,0.8894166666666667
ZTF19acjerdh,SN Ia,0.8244166666666668
ZTF19acjerzj,SN Ia,0.36044761904761835
ZTF19acjfhom,SN Ia,0.9117500000000001
ZTF19acjifxp,SN Ia,0.36044761904761835
ZTF19acjjwsy,SN Ia,0.8548333333333333
ZTF19acjnatv,SN Ia,0.874
ZTF19acjqecl,SN Ia,0.7499976190476192
ZTF19acjtkha,SN Ia,0.748
ZTF19acjtlxe,SN Ic,0.36044761904761835
ZTF19acjtpmm,SN II,0.36044761904761835
ZTF19acjtpqd,SN Ic,0.36044761904761835
ZTF19acjuomg,SN Ia,0.8818
ZTF19acjurot,SN Ia,0.7356333333333335
ZTF19acjutrw,SN IIn,0.36044761904761835
ZTF19acjwcqy,SN Ic-BL,0.7549190476190478
ZTF19acjwqvo,SN Ia,0.872
ZTF19ackbclh,SN IIn,0.36044761904761835
ZTF19ackjene,SN IIb,0.8413
ZTF19ackjjwf,SN Ib,0.84925
ZTF19ackjlrd,SN Ia,0.36044761904761835
ZTF19ackjmge,SN Ia,0.36044761904761835
ZTF19ackjnuq,SN Ia,0.36044761904761835
ZTF19ackjozg,SN Ia,0.36044761904761835
ZTF19ackjsys,SN Ia,0.36044761904761835
ZTF19ackjszs,SN Ib,0.36044761904761835
ZTF19ackjtfm,SN II,0.36044761904761835
ZTF19ackjvjr,SN Ia,0.36044761904761835
ZTF19ackjvtl,SN IIP,0.36044761904761835
ZTF19acklbjr,SN Ia,0.8343833333333334
ZTF19aclhohd,SN Ia,0.8673500000000001
ZTF19aclkbqc,SN Ia,0.7728976190476192
ZTF19aclljyq,SN Ia,0.8383333333333334
ZTF19aclobbu,SN II,0.741
ZTF19aclofmz,SN Ia,0.835
ZTF19aclthzj,SN Ia,0.8736333333333334
ZTF19aclyezb,SN Ia,0.8558333333333333
ZTF19acmbekd,SN Ibn,0.7463166666666665
ZTF19acmbiad,SN Ia,0.79
ZTF19acmbjvi,SN Ia,0.8820761904761906
ZTF19acmdpyr,SN Ia,0.888
ZTF19acmelor,SN Ib,0.8635833333333334
ZTF19acmgyka,SN Ia,0.8995
ZTF19acmwfli,SN II,0.36044761904761835
ZTF19acmwipq,SN Ia,0.36044761904761835
ZTF19acmwkul,SN Ia,0.36044761904761835
ZTF19acmwszk,SLSN-II,0.36044761904761835
ZTF19acmxymo,SN Ia,0.36044761904761835
ZTF19acmyacs,SN II,0.36044761904761835
ZTF19acmyljb,SN Ia,0.36044761904761835
ZTF19acmywjc,SN Ia,0.36044761904761835
ZTF19acnfjyw,SN Ia,0.898
ZTF19acngsnb,SN Ia,0.7848857142857144
ZTF19acngsnc,SN Ia,0.8510190476190479
ZTF19acnjwgm,SN Ia,0.8
ZTF19acnkeji,SN Ia,0.912
ZTF19acnqsui,SN Ia,0.8754166666666666
ZTF19acnzkph,SN Ia,0.811
ZTF19acoaoty,SN Ia,0.914
ZTF19acojuzv,SN Ia,0.78025
ZTF19acojxzo,SN Ia,0.7353333333333334
ZTF19acoknir,SN Ib/c,0.36044761904761835
ZTF19acokufi,SN Ia,0.7019142857142857
ZTF19acokzjy,SN Ia,0.8645833333333334
ZTF19acolhnl,SN Ia,0.36044761904761835
ZTF19acordoi,SN Ia-91T-like,0.9088333333333334
ZTF19acoxgqw,SN Ia,0.8984166666666668
ZTF19acoyxuv,SN Ia,0.36044761904761835
ZTF19acpfnth,SN Ia,0.36044761904761835
ZTF19acpgaet,SN Ia,0.9245833333333334
ZTF19acpmuwu,SN Ia,0.926
ZTF19acqdato,SN Ia,0.36044761904761835
ZTF19acqmwtg,SN Ia,0.36044761904761835
ZTF19acqupbp,SN Ia,0.9074928571428572
ZTF19acqxoll,SN Ia,0.9395
ZTF19acqypso,SN Ia,0.889
ZTF19acrbyzj,SN Ia,0.7353999999999999
ZTF19acrcupt,SN Ia,0.90625
ZTF19acrcxri,SN II,0.78
ZTF19acrdcwh,SN Ia,0.7279976190476191
ZTF19acrddcz,SN Ia-91T-like,0.7749380952380955
ZTF19acrdqej,SN Ia,0.899
ZTF19acrenwk,SN Ia,0.904409523809524
ZTF19acrmmpq,SN Ia,0.7684380952380955
ZTF19acruaaa,SN Ia,0.36044761904761835
ZTF19acruqph,SN Ia,0.88325
ZTF19acrvfkz,SN Ia,0.36044761904761835
ZTF19acrwvao,SN II,0.36044761904761835
ZTF19acrwyyb,SN Ibn,0.36044761904761835
ZTF19acrwzqs,SN Ia,0.36044761904761835
ZTF19acryaon,SN Ia,0.7371666666666669
ZTF19acryurj,SN II,0.705
ZTF19acsaoxd,SN Ia,0.36044761904761835
ZTF19acsfpmi,SN Ia,0.36044761904761835
ZTF19acsfvog,SN Ia,0.36044761904761835
ZTF19acshfvz,SN Ia,0.36044761904761835
ZTF19acshkft,SN Ia,0.7878000000000001
ZTF19acspfcb,SN Ia,0.36044761904761835
ZTF19acsvqrx,SN Ia,0.8746833333333334
ZTF19acszmgx,SN II,0.36044761904761835
ZTF19actaiag,SN Ia,0.36044761904761835
ZTF19acteaxl,SN Ia,0.36044761904761835
ZTF19actfpma,SN Ia,0.36044761904761835
ZTF19actfpmy,SN Ia,0.36044761904761835
ZTF19actfxcd,SN IIP,0.36044761904761835
ZTF19acthgxq,SN Ia,0.36044761904761835
ZTF19acthucv,SN Ia,0.36044761904761835
ZTF19actldas,SN Ia,0.8320666666666667
ZTF19actnyae,SN II,0.36044761904761835
