loop accuracy efficiency purity fom query_id1 
0 0.47491638795986624 0.502283105022831 0.6962025316455697 0.21752417934059615 ZTF19acgdxel 
1 0.5201342281879194 0.6238532110091743 0.6903553299492385 0.2659687670760116 ZTF19acftaml 
2 0.6835016835016835 0.9216589861751152 0.7220216606498195 0.42768398430399773 ZTF19acmdpyr 
3 0.7263513513513513 0.9907407407407407 0.7303754266211604 0.47010757986367746 ZTF19acnjwgm 
4 0.7322033898305085 1.0 0.7312925170068028 0.4756637168141593 ZTF19acryurj 
5 0.7312925170068028 1.0 0.7312925170068028 0.4756637168141593 ZTF19aclobbu 
6 0.7372013651877133 0.9813953488372092 0.7429577464788732 0.48156841535965383 ZTF19acgxbwo 
7 0.7328767123287672 1.0 0.7328767123287672 0.47767857142857145 ZTF19acftfav 
8 0.7285223367697594 0.9813084112149533 0.7368421052631579 0.4737350950692878 ZTF19acgbzam 
9 0.7344827586206897 0.9859154929577465 0.7394366197183099 0.47926447574334896 ZTF19acmblbi 
10 0.7335640138408305 1.0 0.7335640138408305 0.4785553047404063 ZTF20abylbuf 
11 0.7326388888888888 1.0 0.7326388888888888 0.47737556561085975 ZTF19acjnatv 
12 0.7317073170731707 1.0 0.7317073170731707 0.47619047619047616 ZTF19acfejbj 
13 0.7377622377622378 0.9952380952380953 0.7385159010600707 0.48260965639155895 ZTF20abobpcb 
14 0.7333333333333333 0.9904761904761905 0.7375886524822695 0.4791140642303433 ZTF19acihlft 
15 0.7323943661971831 0.9904306220095693 0.7366548042704626 0.47790009034028175 ZTF20abjfufv 
16 0.7385159010600707 1.0 0.7375886524822695 0.48372093023255813 ZTF20abyylgi 
17 0.7340425531914894 0.9951923076923077 0.7366548042704626 0.48019768692845616 ZTF20abyzomt 
18 0.7366548042704626 0.9951923076923077 0.7392857142857143 0.483579360780065 ZTF19acmvrsw 
19 0.7357142857142858 0.9951690821256038 0.7383512544802867 0.4823643080420574 ZTF20abwktfx 
20 0.7383512544802867 1.0 0.7383512544802867 0.48470588235294115 ZTF19acmxidf 
21 0.737410071942446 1.0 0.737410071942446 0.4834905660377358 ZTF18aabukgo 
22 0.7364620938628159 1.0 0.7364620938628159 0.48226950354609927 ZTF19acftude 
23 0.7391304347826086 1.0 0.7391304347826086 0.4857142857142857 ZTF19acgbkzr 
24 0.7454545454545455 1.0 0.7445255474452555 0.49275362318840576 ZTF20abuqali 
25 0.7481751824817519 0.9950980392156863 0.7490774907749077 0.4963265404441875 ZTF19acjnaxa 
26 0.7472527472527473 1.0 0.7463235294117647 0.49512195121951225 ZTF19acjwdnu 
27 0.7463235294117647 0.9950738916256158 0.7481481481481481 0.49508602489747383 ZTF20abxyfye 
28 0.7490774907749077 1.0 0.7481481481481481 0.4975369458128079 ZTF19acewuwn 
29 0.7518518518518519 1.0 0.7509293680297398 0.5012406947890818 ZTF20abyxuky 
30 0.7509293680297398 1.0 0.75 0.5 ZTF20abzqlts 
31 0.753731343283582 1.0 0.7528089887640449 0.5037593984962406 ZTF20abjtavx 
32 0.7528089887640449 1.0 0.7528089887640449 0.5037593984962406 ZTF20abtnpwt 
33 0.7518796992481203 1.0 0.7518796992481203 0.5025125628140703 ZTF20abxyaqc 
34 0.7509433962264151 1.0 0.7509433962264151 0.5012594458438288 ZTF19acrbyzj 
35 0.75 1.0 0.75 0.5 ZTF19achjqbk 
36 0.752851711026616 1.0 0.752851711026616 0.5038167938931297 ZTF19acnpnqq 
37 0.7519083969465649 1.0 0.7519083969465649 0.5025510204081632 ZTF20abwkqxd 
38 0.7509578544061303 1.0 0.7509578544061303 0.5012787723785166 ZTF19acmbkmr 
39 0.75 1.0 0.75 0.5 ZTF18aatrkga 
